IRN,FMNH,Host-ID,Species,Month,Day ,Year,Season,Time_Period,Sex,Age,State,County,City,P_Positive,H_Positive,L_Positive
,,MCP99-862,C. ustulatus,9,11,1998,Fall,6,NA,NA,Ilinois,Cook,Chicago,0,1,1
2987727,493984,S10-731,C. fuscescens,5,8,2010,Spring,29,M,NA,Illinois,Cook,Chicago,0,0,0
1671963,397114,FC-079,C. ustulatus,9,4,2007,Fall,24,M,HY,Illinois,Cook,Chicago,1,0,0
1737283,462283,FC-1209,C. ustulatus,9,21,2008,Fall,26,M,AHY,Illinois,Cook,Chicago,0,0,1
1738517,463517,FC-1210,C. minimus,9,21,2008,Fall,26,M,AHY,Illinois,Cook,Chicago,0,0,0
1741574,466576,FC-1607,C. minimus,9,27,2009,Fall,28,M,NA,Illinois,Cook,Chicago,0,0,1
,,MCP05-1518,C. ustulatus,9,21,2005,Fall,20,NA,NA,Illinois,Cook,Chicago,0,0,1
1726508,451516,MCP06-269,C. ustulatus,9,16,2006,Fall,22,NA,NA,Illinois,Cook,Chicago,0,0,1
1726671,451679,MCP06-282,C. minimus,9,19,2006,Fall,22,NA,NA,Illinois,Cook,Chicago,1,0,1
2200614,484844,MCP12-414,C. guttatus,10,5,2012,Fall,34,F,AHY,Illinois,Cook,Chicago,0,0,1
3805663,509308,MCP17-165,C. ustulatus,5,17,2017,Fall,44,F,AHY,Illinois,Cook,Chicago,0,1,1
3805665,509310,MCP17-252,C. ustulatus,9,5,2017,Fall,44,F,HY,Illinois,Cook,Chicago,0,0,0
3805666,509311,MCP17-253,C. ustulatus,9,5,2017,Fall,44,M,HY,Illinois,Cook,Chicago,0,0,1
3805667,509312,MCP17-254,C. ustulatus,9,5,2017,Fall,44,F,HY,Illinois,Cook,Chicago,0,0,0
3805668,509313,MCP17-256,C. ustulatus,9,6,2017,Fall,44,M,HY,Illinois,Cook,Chicago,0,0,1
3809517,510425,MCP17-257,C. ustulatus,9,6,2017,Fall,44,F,HY,Illinois,Cook,Chicago,0,0,1
3805669,509314,MCP17-270,C. ustulatus,9,8,2017,Fall,44,M,HY,Illinois,Cook,Chicago,0,0,0
4434051,524662,MCP17-280,C. ustulatus,9,13,2017,Fall,44,F,HY,Illinois,Cook,Chicago,1,0,1
4434077,524688,MCP17-281,C. ustulatus,9,13,2017,Fall,44,F,AHY,Illinois,Cook,Chicago,0,0,1
4166495,519595,MCP17-293,C. ustulatus,9,26,2017,Fall,44,F,HY,Illinois,Cook,Chicago,0,0,0
4055642,515750,MCP17-311,C. ustulatus,9,29,2017,Fall,44,M,AHY,Illinois,Cook,Chicago,1,0,1
3963112,513779,MCP17-312,C. ustulatus,9,29,2017,Fall,44,F,AHY,Illinois,Cook,Chicago,1,0,1
3963108,513775,MCP17-313,C. minimus,9,29,2017,Fall,44,M,HY,Illinois,Cook,Chicago,0,0,1
4515101,525558,MCP17-323,C. minimus,10,2,2017,Fall,44,F,HY,Illinois,Cook,Chicago,0,0,1
3805911,509556,MCP17-326,C. guttatus,10,5,2017,Fall,44,F,HY,Illinois,Cook,Chicago,1,1,0
3805672,509317,MCP17-327,C. guttatus,10,5,2017,Fall,44,M,HY,Illinois,Cook,Chicago,0,0,0
3805673,509318,MCP17-328,C. guttatus,10,5,2017,Fall,44,M,HY,Illinois,Cook,Chicago,1,0,0
3805674,509319,MCP17-329,C. guttatus,10,5,2017,Fall,44,F,HY,Illinois,Cook,Chicago,0,0,1
3805675,509320,MCP17-389,C. guttatus,10,16,2017,Fall,44,F,HY,Illinois,Cook,Chicago,0,0,0
3805676,509321,MCP17-390,C. guttatus,10,16,2017,Fall,44,M,HY,Illinois,Cook,Chicago,0,0,0
3885272,511782,MCP17-398,C. guttatus,10,17,2017,Fall,44,F,HY,Illinois,Cook,Chicago,0,0,1
3805912,509557,MCP17-403,C. guttatus,10,19,2017,Fall,44,F,HY,Illinois,Cook,Chicago,1,0,0
3809533,510441,MCP17-424,C. guttatus,10,24,2017,Fall,44,F,HY,Illinois,Cook,Chicago,0,0,0
3805677,509322,MCP17-461,C. guttatus,10,26,2017,Fall,44,F,AHY,Illinois,Cook,Chicago,0,0,0
,,MCP17-530,C. guttatus,11,1,2017,Fall,44,M,HY,Illinois,Cook,Chicago,0,0,0
3885276,511786,MCP17-531,C. guttatus,11,1,2017,Fall,44,M,HY,Illinois,Cook,Chicago,0,0,0
4392645,523435,MCP19-029,C. guttatus,4,9,2019,Fall,48,M,AHY,Illinois,Cook,Chicago,1,0,0
4434094,524708,MCP19-059,C. guttatus,4,23,2019,Fall,48,F,AHY,Illinois,Cook,Chicago,0,0,0
4111141,519059,MCP19-108,C. ustulatus,5,16,2019,Fall,48,M,NA,Illinois,Cook,Chicago,0,0,1
4166463,519563,MCP19-119,C. minimus,5,18,2019,Fall,48,F,NA,Illinois,Cook,Chicago,1,0,1
4111142,519060,MCP19-164,C. ustulatus,8,30,2019,Fall,48,F,AHY,Illinois,Cook,Chicago,0,0,0
,,MCP19-168,C. ustulatus,9,4,2019,Fall,48,F,HY,Illinois,Cook,Chicago,0,0,1
4362925,522175,MCP19-184,C. ustulatus,9,11,2019,Fall,48,M,HY,Illinois,Cook,Chicago,1,0,1
4362926,522176,MCP19-185,C. ustulatus,9,11,2019,Fall,48,F,AHY,Illinois,Cook,Chicago,0,0,0
4363011,522282,MCP19-187,C. minimus,9,12,2019,Fall,48,M,HY,Illinois,Cook,Chicago,0,0,1
4362927,522177,MCP19-189,C. ustulatus,9,14,2019,Fall,48,F,AHY,Illinois,Cook,Chicago,0,0,1
4362928,522178,MCP19-196,C. ustulatus,9,15,2019,Fall,48,F,AHY,Illinois,Cook,Chicago,0,0,0
4166496,519596,MCP19-207,C. ustulatus,9,23,2019,Fall,48,NA,HY,Illinois,Cook,Chicago,0,0,0
4166462,519562,MCP19-208,C. fuscescens,9,23,2019,Fall,48,M,HY,Illinois,Cook,Chicago,0,0,0
4362929,522179,MCP19-216,C. ustulatus,9,27,2019,Fall,48,M,HY,Illinois,Cook,Chicago,0,0,1
4362909,522159,MCP19-245,C. guttatus,10,3,2019,Fall,48,F,HY,Illinois,Cook,Chicago,0,0,1
4362910,522160,MCP19-289,C. guttatus,10,14,2019,Fall,48,F,AHY,Illinois,Cook,Chicago,0,0,0
4370329,523051,MCP19-290,C. guttatus,10,14,2019,Fall,48,M,HY,Illinois,Cook,Chicago,0,0,0
4362911,522161,MCP19-291,C. guttatus,10,14,2019,Fall,48,F,HY,Illinois,Cook,Chicago,1,0,0
4362913,522163,MCP19-300,C. guttatus,10,15,2019,Fall,48,M,AHY,Illinois,Cook,Chicago,0,0,0
,,MCP19-305,C. guttatus,10,16,2019,Fall,48,M,HY,Illinois,Cook,Chicago,1,0,0
4362914,522164,MCP19-318,C. guttatus,10,17,2019,Fall,48,F,AHY,Illinois,Cook,Chicago,0,0,0
4392646,523436,MCP19-319,C. guttatus,10,17,2019,Fall,48,M,HY,Illinois,Cook,Chicago,1,0,0
4362915,522165,MCP19-320,C. guttatus,10,17,2019,Fall,48,F,HY,Illinois,Cook,Chicago,0,0,0
4362916,522166,MCP19-321,C. guttatus,10,17,2019,Fall,48,M,HY,Illinois,Cook,Chicago,0,0,0
4362917,522167,MCP19-322,C. guttatus,10,17,2019,Fall,48,M,HY,Illinois,Cook,Chicago,0,0,0
4370331,523052,MCP19-323,C. guttatus,10,17,2019,Fall,48,F,AHY,Illinois,Cook,Chicago,0,0,0
4218221,520693,MCP19-344,C. guttatus,10,18,2019,Fall,48,NA,HY,Illinois,Cook,Chicago,0,0,0
4362924,522174,MCP19-345,C. guttatus,10,18,2019,Fall,48,M,HY,Illinois,Cook,Chicago,0,0,0
,,MCP19-384,C. guttatus,10,22,2019,Fall,48,M,HY,Illinois,Cook,Chicago,0,0,0
4362919,522169,MCP19-414,C. guttatus,10,24,2019,Fall,48,M,HY,Illinois,Cook,Chicago,0,0,0
